product_iD,product_name,category,price,stock_quantity
1,Honey Garlic Shrimp,Food - Seafood,8.49,455
2,Vegetable Spiralizer,Kitchen,19.99,381
3,Classic Pumps,Clothing - Footwear,64.99,98
4,Over-The-Door Shoe Organizer,Home,25.99,367
5,Pear and Gorgonzola Salad,Food - Salads,5.49,207
6,Banana Nut Oatmeal Cups,Food - Breakfast,2.99,204
7,Classic Black Trousers,Clothing - Pants,54.99,68
8,Coconut Granola,Food - Snacks,4.19,428
9,Rechargeable Laptop Battery Pack,Electronics,49.99,304
10,Rolling Cooler,Outdoor,59.99,242
11,Pet Water Fountain with Filtration,Pets,39.99,208
12,Handcrafted Wooden Jewelry Box,Accessories,39.99,109
13,Crafting Kit,Art Supplies,29.99,400
14,Lentil Soup,Food - Canned Goods,2.49,317
15,Italian Herbal Seasoning,Food - Spices,1.99,79
16,Essential Oil Roller Bottles,Health,19.99,213
17,Coconut Almond Granola,Food - Breakfast,4.99,401
18,Fitness Foam Roller,Fitness,29.99,483
19,USB-C Hub,Computers,39.99,296
20,Sporty Cap,Clothing - Accessories,15.99,296
21,High-Pressure Handheld Shower Head,Bathroom,39.99,330
22,Inflatable Paddle Board,Outdoor,349.99,180
23,Luxury Yoga Mat,Fitness,39.99,386
24,Leather Biker Jacket,Clothing - Outerwear,129.99,278
25,Self-Watering Planters,Garden,49.99,70
26,Vanilla Pudding Mix,Food - Baking,1.29,157
27,Spicy Thai Chili Sauce,Food - Sauces,3.29,474
28,Heavy Duty Gardening Tool Set,Garden,49.99,323
29,Maple Chipotle Glaze,Food - Condiments,3.49,90
30,Body Pillow Case,Home,14.99,186
31,Smart WiFi Plug,Smart Home,19.99,331
32,Sliced Cucumbers,Food - Produce,1.29,8
33,Protein Pancake Mix,Food - Breakfast,3.99,47
34,Balsamic Glazed Brussels Sprouts,Food - Vegetables,4.99,491
35,Plant Growing Kit,Garden,22.99,81
36,Kitchen Scale,Kitchen,19.99,76
37,Protein Powder,Fitness,44.99,463
38,Smart Wi-Fi Light Bulbs,Smart Home,19.99,124
39,Pressure Washer Accessories Kit,Home Improvement,39.99,435
40,Pine Nuts,Food - Nuts,7.99,123
41,Rustic Italian Breads,Food - Bakery,3.99,340
42,Peanut Butter Cookies,Food - Bakery,3.49,17
43,Silicone Stretch Lids,Kitchen,14.99,378
44,Portable Charcoal Grill,Outdoor,89.99,285
45,Leather Biker Jacket,Clothing - Outerwear,129.99,97
46,Digital Voice Recorder,Electronics,49.99,154
47,Travel Makeup Organizer,Beauty,25.99,362
48,Silicone Baking Mat Set,Kitchen,24.99,358
49,Pumpkin Seeds,Food - Snacks,2.79,391
50,Pretzel Bites,Food - Snacks,4.99,356